"id","code","description","name"
"__export__.education_subject_1_a77a3a3e","Bn","","Bengali"
"__export__.education_subject_2_4229f736","En","","English"
"__export__.education_subject_3_c452cbc4","Math","","Mathematics"
"__export__.education_subject_4_c5902a8b","MEd","","Moral Education"
"__export__.education_subject_5_5b91b65d","Sci","","Science"
"__export__.education_subject_6_2332cde1","ICT","","It and communication Technology"
"__export__.education_subject_7_3800b22f","Phy","","Physics"
"__export__.education_subject_8_667e165b","Chem","","Chemistry"
"__export__.education_subject_9_0128ccff","Bio","","Biology"
"__export__.education_subject_10_2d47ac26","HMath","","Higher Math"
"__export__.education_subject_11_db2e419f","Fin","","Finance"
"__export__.education_subject_12_89331f98","Acc","","Accounting"
"__export__.education_subject_13_2eb8f63b","BEnt","","Business Enterpreneur"
"__export__.education_subject_14_3d383a81","PHE","","Physical Health Education"
"__export__.education_subject_15_00eb9753","Art","","Art and Craft "
"__export__.education_subject_16_fef1e93a","WLE","","Work And Life Education"
"__export__.education_subject_17_088e7207","CarE","","Career Education"
"__export__.education_subject_18_455c395c","GKnol","","General Knowledge"
"__export__.education_subject_19_c18e0cb4","Econ","","Economics"
"__export__.education_subject_20_500efcb9","Geo","","Geography"
"__export__.education_subject_21_9c25bb72","His","","History"
"__export__.education_subject_22_dd32b1e8","Agr","","Agriculture"
"__export__.education_subject_23_babac239","SHand","","Short Hand"
"__export__.education_subject_24_14a4b26c","Civ","","Civil Science"
